"Variable","OR","CI_lower","CI_upper","P_value"
"(Intercept)",1.01128461112586,0.232083106733977,4.40659632272257,0.987790379961934
"MDSMedium",1.87034872637406,1.50785612994837,2.31998550045279,6.63529926733109e-07
"MDSHigh",2.05667846706396,1.44052118594349,2.93638605121527,0.000196743835082679
"Age_group>= 65",2.72433140364133,2.02939392078434,3.65724047995464,2.48986534348087e-08
"GenderMale",0.181186178694115,0.130967353209931,0.250661180402372,2.37782364539848e-13
"RaceNon_hispanic_black ",0.549492797024763,0.304500890410907,0.991597540403389,0.0469591144473425
"RaceNon_hispanic_white",1.02785808339802,0.595453032241337,1.7742662853356,0.919530858502349
"RaceOther",0.642729151220132,0.271812082066781,1.51980279422111,0.3056816394328
"RaceOther_hispanic",0.869256898801203,0.321671763582312,2.3490018138323,0.777346232892064
"PIRPoor",0.916167120015028,0.642302630271245,1.30680173525394,0.621214555555036
"PIRRich",0.645493244229596,0.472556650455375,0.8817176267534,0.00708814899716674
"Marital_statusunMarried",0.761195304095082,0.52593893008672,1.10168359448285,0.143734200076633
"BMI",0.942801811144269,0.915566126672148,0.970847685603825,0.000216812694117953
"StrokeYes",1.32649794626408,0.711150734279669,2.47429513410421,0.365389845125416
"HypertensionYes",1.30599556099984,0.870095151907903,1.96027342712034,0.191666974229061
"DiabetesYes",0.780105330755992,0.490701004489544,1.24019376668483,0.28567348341073
"TG",1.01697042004369,0.868131442755744,1.19132746990577,0.831013028801716
"TC",0.997357995095304,0.992658649413365,1.00207958795139,0.264533837882582
"HbA1C",1.0247444063949,0.897597099665002,1.16990250840778,0.711348227832296
"MAGN",1.0004879042776,0.998537353960402,1.00244226481435,0.616407576539695
"CALC",1.00016336449146,0.999596765399521,1.00073028474742,0.563642653705151
"PHOS",0.999618891576875,0.999006167059989,1.00023199189858,0.216402262740755
