"","Estimate","Std. Error","t value","Pr(>|t|)","OR","OR_lci95","OR_uci95"
"MDS1",0.272855916864881,0.0600896854880887,4.54081119993493,4.65695982851106e-05,1.31371094759583,1.16775153314949,1.47791409802601
"Age_group>= 65",1.62380727508665,0.134146878812701,12.104696653836,2.78755709769683e-15,5.07236549109928,3.89962109237254,6.59779272545714
"GenderMale",-1.80208629137396,0.108821462078153,-16.5600264594841,5.0724331004733e-20,0.164954386067857,0.13327023673349,0.204171239955381
"RaceNon_hispanic_black ",-0.262706156794936,0.194180698670944,-1.35289531139299,0.18332740876153,0.768967820085444,0.525555055564517,1.12511810526075
"RaceNon_hispanic_white",0.503170167754355,0.170144448227578,2.95731170188601,0.00507622815105472,1.65395628726446,1.1849339672897,2.30862771740668
"RaceOther",0.530487771869222,0.30521423463845,1.73808332529977,0.0895238121744928,1.69976120214545,0.934510769300216,3.09165847974382
"RaceOther_hispanic",0.21306150647614,0.228768283290828,0.931341982425421,0.356999579699859,1.23746076075372,0.790314486329653,1.93759466755673
"PIRPoor",0.201879410574204,0.131390598255224,1.53648292385469,0.131920048725825,1.22370043388092,0.945873762759814,1.58313171464997
"PIRRich",-0.105642126254755,0.106565795042096,-0.991332408424521,0.327200417022555,0.899746586146452,0.730145766572193,1.10874287894971
"Marital_statusunMarried",-0.174778478857741,0.104180735738016,-1.67764680888084,0.100843800001488,0.839642998845603,0.684564286706295,1.02985268031213
"BMI",-0.0477906642534306,0.00891191555991966,-5.36255801932905,3.25757675073751e-06,0.953333332935715,0.936825713590349,0.970131829754338
"StrokeYes",0.245819952035329,0.18586691980708,1.32255891629601,0.193138899499932,1.27866933100448,0.888270281905349,1.84065063456176
"HypertensionYes",0.261408379014821,0.102456728195955,2.55140275917128,0.0144594195082533,1.29875794263839,1.06246660608,1.58760019742144
"DiabetesYes",-0.154762880854047,0.173448912170612,-0.892267809104595,0.377333214698965,0.856618273997164,0.609739935048149,1.20345548186529
"TG",-0.0322079812592738,0.0511586886755614,-0.629570110045834,0.53238588384418,0.968305171806149,0.875921318570312,1.07043279558137
"TC",0.000122380030269528,0.00127271183892381,0.0961569041213694,0.923853319493938,1.00012238751901,0.997630676115262,1.00262032229366
"HbA1C",0.159579253495702,0.0492384078592323,3.24095072188205,0.00233424444216855,1.17301722425244,1.06510349632923,1.2918645118855
"MAGN",0.000844452594900454,0.000765856112924827,1.10262565075764,0.276468002532571,1.00084480924538,0.99934359014484,1.002348283485
"CALC",-0.000121735524429927,0.000160573037780736,-0.758131789199617,0.452605323991763,0.999878271885038,0.999563636555753,1.00019300625293
"PHOS",-0.00032304049917075,0.000219452543974544,-1.47202895587404,0.148467325885247,0.999677011672793,0.999247116074076,1.00010709222098
