,level,Overall,Non-OP,OP,p value,test
n,,14541,13546,995,,
Age (mean (SD)),,  50.70 (17.21),  49.50 (16.92),  66.96 (12.03),<0.001,
Sex (%),Male,   7656 (52.7) ,   7444 (55.0) ,    212 (21.3) ,<0.001,
,Female,   6885 (47.3) ,   6102 (45.0) ,    783 (78.7) ,,
Race (%),Mexican_american,   2473 (17.0) ,   2374 (17.5) ,     99 ( 9.9) ,<0.001,
,Other_hispanic,   1200 ( 8.3) ,   1127 ( 8.3) ,     73 ( 7.3) ,,
,Non_hispanic_white,   7440 (51.2) ,   6769 (50.0) ,    671 (67.4) ,,
,Non_hispanic_black ,   2721 (18.7) ,   2611 (19.3) ,    110 (11.1) ,,
,Other,    707 ( 4.9) ,    665 ( 4.9) ,     42 ( 4.2) ,,
Marital status (%),Married,   9088 (62.5) ,   8355 (61.7) ,    733 (73.7) ,<0.001,
,unMarried,   5453 (37.5) ,   5191 (38.3) ,    262 (26.3) ,,
BMI (mean (SD)),,  29.02 (6.65),  29.14 (6.66),  27.45 (6.33),<0.001,
Educational level (%),Below high school,   3724 (25.6) ,   3470 (25.6) ,    254 (25.5) ,0.004,
,High school,   3446 (23.7) ,   3169 (23.4) ,    277 (27.8) ,,
,Above high school,   7371 (50.7) ,   6907 (51.0) ,    464 (46.6) ,,
Stroke (%),Yes,    556 ( 3.8) ,    471 ( 3.5) ,     85 ( 8.5) ,<0.001,
,No,  13985 (96.2) ,  13075 (96.5) ,    910 (91.5) ,,
Hypertension (%),Yes,   5219 (35.9) ,   4675 (34.5) ,    544 (54.7) ,<0.001,
,No,   9322 (64.1) ,   8871 (65.5) ,    451 (45.3) ,,
Diabetes (%),Yes,   1760 (12.1) ,   1599 (11.8) ,    161 (16.2) ,<0.001,
,No,  12781 (87.9) ,  11947 (88.2) ,    834 (83.8) ,,
PIR (%),Close to poverty,   5975 (41.1) ,   5511 (40.7) ,    464 (46.6) ,0.001,
,Poor,   2646 (18.2) ,   2477 (18.3) ,    169 (17.0) ,,
,Rich,   5920 (40.7) ,   5558 (41.0) ,    362 (36.4) ,,
TG (mean (SD)),,   1.78 (1.44),   1.79 (1.46),   1.65 (1.11),0.003,
TC (mean (SD)),, 196.67 (42.49), 196.52 (42.43), 198.76 (43.28),0.109,
HbA1C (mean (SD)),,   5.71 (1.04),   5.70 (1.05),   5.82 (0.96),0.001,
Magnesium (mean (SD)),, 294.52 (127.46), 296.59 (128.27), 266.29 (112.08),<0.001,
Calcium (mean (SD)),, 925.18 (500.96), 932.89 (506.28), 820.22 (407.84),<0.001,
Phosphorus (mean (SD)),,1335.27 (568.56),1349.58 (573.82),1140.45 (448.25),<0.001,
MDS (%),Low(0-1),  10951 (75.3) ,  10408 (76.8) ,    543 (54.6) ,<0.001,
,Medium(2),   2402 (16.5) ,   2108 (15.6) ,    294 (29.5) ,,
,High(>=3),   1188 ( 8.2) ,   1030 ( 7.6) ,    158 (15.9) ,,
