,level,Overall,Non-OP,OP,p value,test
n,,106900164.5,100190795.1,6709369.36,,
Age (mean (SD)),,48.49 (16.08),47.37 (15.66),65.22 (12.53),<0.001,
Gender (%),Male,54660176.5 (51.1),53535025.0 (53.4),1125151.5 (16.8),<0.001,
,Female,52239987.9 (48.9),46655770.1 (46.6),5584217.8 (83.2),,
Race (%),Mexican American,8228949.6 (7.7),8003189.5 (8.0),225760.2 (3.4),<0.001,
,Other Hispanic,4422839.6 (4.1),4243470.5 (4.2),179369.1 (2.7),,
,Non-Hispanic white,78561420.3 (73.5),72884742.5 (72.7),5676677.7 (84.6),,
,Non-Hispanic black ,10387898.6 (9.7),10026717.2 (10.0),361181.4 (5.4),,
,Other,5299056.4 (5.0),5032675.4 (5.0),266381.0 (4.0),,
Marital status (%),Married,68917039.1 (64.5),63811051.1 (63.7),5105988.0 (76.1),<0.001,
,Unmarried,37983125.4 (35.5),36379744.0 (36.3),1603381.4 (23.9),,
BMI (mean (SD)),,28.77 (6.60),28.87 (6.60),27.32 (6.44),<0.001,
Educational level (%),Below high school,17692450.4 (16.6),16394244.8 (16.4),1298205.6 (19.3),<0.001,
,High school,25154952.0 (23.5),23318241.4 (23.3),1836710.6 (27.4),,
,Above high school,64052762.0 (59.9),60478308.9 (60.4),3574453.1 (53.3),,
Stroke (%),Yes,3073811.8 (2.9),2580574.9 (2.6),493237.0 (7.4),<0.001,
,No,103826352.6 (97.1),97610220.2 (97.4),6216132.4 (92.6),,
Hypertension (%),Yes,34519789.3 (32.3),31101023.5 (31.0),3418765.8 (51.0),<0.001,
,No,72380375.2 (67.7),69089771.6 (69.0),3290603.5 (49.0),,
Diabetes (%),Yes,9560174.2 (8.9),8722472.9 (8.7),837701.3 (12.5),0.006,
,No,97339990.3 (91.1),91468322.2 (91.3),5871668.1 (87.5),,
PIR (%),Close to poverty,35741990.3 (33.4),33012959.9 (33.0),2729030.4 (40.7),<0.001,
,Poor,12566242.1 (11.8),11761472.7 (11.7),804769.3 (12.0),,
,Rich,58591932.1 (54.8),55416362.5 (55.3),3175569.6 (47.3),,
TG (mean (SD)),,1.77 (1.43),1.78 (1.45),1.64 (1.07),0.002,
TC (mean (SD)),,197.25 (41.81),197.10 (41.70),199.47 (43.40),0.208,
HbA1C (mean (SD)),,5.57 (0.89),5.57 (0.90),5.72 (0.85),<0.001,
Magnesium (mean (SD)),,305.74 (129.85),308.07 (130.23),270.96 (118.74),<0.001,
Calcium (mean (SD)),,968.77 (516.50),977.71 (521.91),835.13 (404.80),<0.001,
Phosphorus (mean (SD)),,1387.47 (576.87),1402.89 (581.89),1157.15 (435.37),<0.001,
MDS (%),Low(0-1),84714651.9 (79.2),80867320.7 (80.7),3847331.2 (57.3),<0.001,
,Medium(2),15736116.9 (14.7),13820481.9 (13.8),1915635.0 (28.6),,
,High(>=3),6449395.7 (6.0),5502992.5 (5.5),946403.2 (14.1),,
