,level,Overall,Low,Medium,High,p,test
n,,106900164.5,84714651.88,15736116.88,6449395.69,,
Age (mean (SD)),,48.49 (16.08),44.87 (14.70),60.04 (13.70),67.74 (10.95),<0.001,
Sex (%),Male,54660176.5 (51.1),42639461.9 (50.3),8575504.2 (54.5),3445210.5 (53.4),0.003,
,Female,52239987.9 (48.9),42075190.0 (49.7),7160612.7 (45.5),3004185.2 (46.6),,
Race (%),Mexican American,8228949.6 (7.7),7522850.9 (8.9),541511.0 (3.4),164587.7 (2.6),<0.001,
,Other Hispanic,4422839.6 (4.1),3897156.0 (4.6),435091.1 (2.8),90592.5 (1.4),,
,Non-Hispanic white,78561420.3 (73.5),60941867.3 (71.9),12405023.2 (78.8),5214529.8 (80.9),,
,Non-Hispanic black,10387898.6 (9.7),7652772.1 (9.0),1861808.8 (11.8),873317.7 (13.5),,
,Other,5299056.4 (5.0),4700005.5 (5.5),492682.8 (3.1),106368.0 (1.6),,
Marital status (%),Married,68917039.1 (64.5),52486115.3 (62.0),11458400.4 (72.8),4972523.4 (77.1),<0.001,
,Unmarried,37983125.4 (35.5),32228536.6 (38.0),4277716.5 (27.2),1476872.3 (22.9),,
BMI (mean (SD)),,28.77 (6.60),28.42 (6.50),29.64 (6.59),31.21 (7.16),<0.001,
Educational level (%),Below high school,17692450.4 (16.6),13165404.3 (15.5),3022022.9 (19.2),1505023.3 (23.3),<0.001,
,High school,25154952.0 (23.5),19210175.4 (22.7),4146232.0 (26.3),1798544.5 (27.9),,
,Above high school,64052762.0 (59.9),52339072.2 (61.8),8567862.0 (54.4),3145827.9 (48.8),,
Stroke (%),Yes,3073811.8 (2.9),1285967.6 (1.5),923117.6 (5.9),864726.6 (13.4),<0.001,
,No,103826352.6 (97.1),83428684.2 (98.5),14812999.3 (94.1),5584669.1 (86.6),,
Hypertension (%),Yes,34519789.3 (32.3),21150934.3 (25.0),8224850.6 (52.3),5144004.3 (79.8),<0.001,
,No,72380375.2 (67.7),63563717.5 (75.0),7511266.3 (47.7),1305391.4 (20.2),,
Diabetes (%),Yes,9560174.2 (8.9),5295321.5 (6.3),2359633.5 (15.0),1905219.1 (29.5),<0.001,
,No,97339990.3 (91.1),79419330.3 (93.7),13376483.3 (85.0),4544176.6 (70.5),,
PIR (%),Close to poverty,35741990.3 (33.4),26842876.9 (31.7),5866975.7 (37.3),3032137.8 (47.0),<0.001,
,Poor,12566242.1 (11.8),10014683.4 (11.8),1775572.5 (11.3),775986.2 (12.0),,
,Rich,58591932.1 (54.8),47857091.6 (56.5),8093568.7 (51.4),2641271.8 (41.0),,
TG (mean (SD)),,1.77 (1.43),1.75 (1.45),1.86 (1.34),1.94 (1.25),0.001,
TC (mean (SD)),,197.25 (41.81),198.20 (41.46),197.13 (42.02),185.18 (43.94),<0.001,
HbA1C (mean (SD)),,5.57 (0.89),5.50 (0.84),5.79 (0.95),6.08 (1.16),<0.001,
Magnesium (mean (SD)),,305.74 (129.85),310.48 (132.76),295.24 (119.78),269.07 (105.34),<0.001,
Calcium (mean (SD)),,968.77 (516.50),987.20 (521.30),912.98 (496.55),862.80 (477.23),<0.001,
Phosphorus (mean (SD)),,1387.47 (576.87),1410.61 (584.49),1330.63 (553.16),1222.14 (490.05),<0.001,
MDS (%),Low,84714651.9 (79.2),84714651.9 (100.0),0.0 (0.0),0.0 (0.0),NA,
,Medium,15736116.9 (14.7),0.0 (0.0),15736116.9 (100.0),0.0 (0.0),,
,High,6449395.7 (6.0),0.0 (0.0),0.0 (0.0),6449395.7 (100.0),,
