"Variable","OR","CI_lower","CI_upper","P_value"
"(Intercept)",0.551088798892891,0.217471352561177,1.39650055369833,0.204073360236382
"MDS1",1.37447813959877,1.23314260693576,1.53201271743367,3.10500744167278e-07
"Age_group>= 65",2.84965300176794,2.12703109379673,3.81777316474954,2.74513234488151e-09
"GenderMale",0.173059640058779,0.130270289945731,0.22990383325124,5.17108651312753e-17
"RaceNon_hispanic_black ",0.551031447005935,0.29616177854988,1.02523579199237,0.0595597589156846
"RaceNon_hispanic_white",1.00860441982951,0.563843031074448,1.80419517425107,0.976520143408931
"RaceOther",0.652654811269641,0.272936282402316,1.56065107549731,0.330437720229104
"RaceOther_hispanic",0.836308777840648,0.308408404704459,2.26781229442677,0.720524364410396
"PIRPoor",0.922232690583834,0.637820996200297,1.33346682007691,0.661242493774006
"PIRRich",0.634499604620199,0.461468052059951,0.872410877559271,0.00599082631556155
"Marital_statusunMarried",0.762339022959391,0.527728250274056,1.10125009533766,0.144715845942961
"BMI",0.944958803407021,0.919258899358525,0.971377204789143,0.000138301772752687
