,Exposure,Exposure Level,Variable,Group,Estimate,Std. Error,t value,Pr(>|t|),OR,OR_lci95,OR_uci95,interactionPval
MDSMedium,MDS,Medium,Age,< 65,0.762206983477014,0.150668798082753,5.05882434303605,4.26254844327549e-06,2.14300057215016,1.59503573318209,2.87921540357845,0.000259099279940356
MDSHigh,MDS,High,Age,< 65,1.02192385880801,0.214745902135785,4.75875836811936,1.26806200533536e-05,2.7785351345496,1.823981758,4.23263964081225,
MDSMedium1,MDS,Medium,Age,>= 65,0.162713879960833,0.115675612557166,1.40663944943816,0.164692928202567,1.17669996407898,0.93799531875825,1.47615108281829,
MDSHigh1,MDS,High,Age,>= 65,-0.003489405,0.132463411331208,-0.026342406,0.979071651628282,0.99651667598212,0.768651428535898,1.29193214068694,
MDSMedium2,MDS,Medium,Gender,Female,1.16619017691252,0.0960639799582077,12.1397237280807,8.40218085505157e-18,3.20974077013148,2.65887945413186,3.87472842946467,0.853782386720775
MDSHigh2,MDS,High,Gender,Female,1.37204362984533,0.114402378894972,11.9931389810079,1.41265502588973e-17,3.94340131904897,3.15129968832859,4.93460333863864,
MDSMedium11,MDS,Medium,Gender,Male,1.26604492778211,0.220759081389312,5.7349619314162,3.38867028706755e-07,3.546796947,2.30103064309466,5.46701480133375,
MDSHigh11,MDS,High,Gender,Male,1.50638464035336,0.23252462608267,6.47838753998379,1.92637751239903e-08,4.510394583,2.85947022949468,7.11448543287539,
MDSMedium5,MDS,Medium,Race,Mexican_american,1.58374703374585,0.274209131104305,5.77569035490439,4.59692914296997e-07,4.87318161953152,2.84708919359539,8.34111525215347,0.576371384453041
MDSHigh5,MDS,High,Race,Mexican_american,2.10902564018589,0.340714184030882,6.1900142084919,1.03226743957425e-07,8.24020844385595,4.22587288506365,16.0679312996354,
MDSMedium12,MDS,Medium,Race,Non_hispanic_black ,0.935805887512949,0.226602780113715,4.1297193575619,0.000126877204859723,2.54926705262951,1.63503537220291,3.97469230091729,
MDSHigh12,MDS,High,Race,Non_hispanic_black ,1.12407624472212,0.269317445419554,4.17379662491224,0.000109662509937881,3.07737279615346,1.81523339493422,5.21708302245538,
MDSMedium21,MDS,Medium,Race,Non_hispanic_white,1.05272557886257,0.0811209923347098,12.9772275777762,6.19120371539806e-19,2.86545049562814,2.44422581789043,3.35926675955913,
MDSHigh21,MDS,High,Race,Non_hispanic_white,1.25445628034432,0.125295976672891,10.0119438281671,2.45899225087296e-14,3.50593161208854,2.74251714862694,4.48185218269121,
